,분야별,시설명,위도,경도
0,교정시설,서울지방교정청,37.427016,126.984861
1,교정시설,서울구치소,37.397126,126.992057
2,교정시설,서울동부구치소,37.482736,127.116227
3,교정시설,서울남부구치소,37.478495,126.837467
4,교정시설,서울남부교도소,37.477392,126.838826
5,정착지원,서울남부 하나센터,37.519198,126.840206
6,정착지원,서울동부 하나센터,37.485226,126.984158
7,정착지원,서울북부 하나센터,37.629231,127.069654
8,정착지원,서울서부 하나센터,37.562033,126.861704
9,과학연구,한국과학기술연구원 (KIST),37.600879,127.046425
10,과학연구,한국 국방 연구원,37.593328,127.041485
11,방송,KBS 본사,37.525234,126.916661
12,방송,MBC 본사,37.581342,126.890746
13,방송,SBS 본사,37.529367,126.873804
14,철도,한국철도공사 철도교통관제센터,37.49739,126.877399
15,철도,서울교통공사,37.563446,127.057435
16,중앙행정기관,청와대,37.58665,126.97472
17,중앙행정기관,국회의사당,37.531975,126.914241
18,중앙행정기관,대법원,37.492477,127.005325
