,rank,grid_idx,center_lat,center_lng,radar_score,covered_population,covered_area_density
0,1,12745,37.581791,126.909136,0.5155539159523178,38432.290896247236,128.94505077262693
1,2,3350,37.554313,126.942663,0.29001922969928084,42196.425898989895,168.67399326599323
2,3,11681,37.578638,126.955164,0.100944703938673,21293.67713020946,86.28648240120923
3,4,16991,37.595304,126.947777,0.02912017049960348,22875.060392921412,63.44640671865627
4,5,1923,37.547106,126.955732,0.005276626721884457,44816.096654554894,181.20051128990397
5,6,9116,37.572331,126.901181,0.00018649484536082487,30586.266425560247,114.43334812513868
6,7,13078,37.582692,126.921069,2.5765559373806797e-05,37237.66161049445,115.80342280524722
7,8,1108,37.5408,126.958573,2.061855670103093e-06,45887.604842105255,186.76471381578946
8,9,6229,37.564223,126.93698,1.0309278350515464e-06,32718.905069944045,128.113173461231
