연번,소재지,대표지번,토지면적_제곱미터(m2),용도,비고
1,서울시성동구용답동,223─3,5293,본사,도시지역준주거지역
2,서울시성동구용답동,223─5,10706,별관,도시지역2종일반주거지역
3,서울시서초구방배동,447─7,8009,별관,도시지역3종일반주거지역
4,서울시성동구용답동,129─2,3400,별관,도시지역1종일반주거지역
5,서울시구로구구로동,120─3,1908,별관,도시지역3종일반주거지역
6,서울시중구을지로7가,4─24,1455,별관,일반상업지역
7,서울시마포구성산동,591─2,885,별관,유통상업지역
8,서울시강서구방화동,846,3917,별관,도시지역준주거지역
9,서울시용산구한남동,728─1,1005,별관,도시지역2종일반주거지역
10,서울시동작구상도동,506─11,238,별관,도시지역3종일반주거지역
11,서울시영등포구신길동,429─18,684,별관,도시지역준주거지역
12,서울시광진구군자동,232,698,별관,도시지역2종일반주거지역
13,서울시마포구상암동,1171─5,1100,별관,일반상업지역
14,서울시송파구신천동,7─4,1138,별관,도시지역일반상업지역
15,서울시성동구용답동,189,245300,차량기지,도시지역1종일반주거지역
16,서울시양천구신정동,276,234287,차량기지,도시지역2종일반주거지역3종일반주거지역
17,경기도고양시덕양구지축동,818─64,313709,차량기지,자연녹지지역개발제한구역
18,서울시강남구수서동,173,204280,차량기지,도시지역자연녹지지역개발제한구역
19,서울시노원구상계동,820,179578,차량기지,도시지역자연녹지지역
20,서울시강동구강일동,227─1,250241,차량기지,도시지역자연녹지지역개발제한구역
21,서울시강서구개화동,295─7,178025,차량기지,도시지역자연녹지지역개발제한구역
22,서울시중랑구신내동,19,185929,차량기지,도시지역자연녹지지역개발제한구역
23,경기도의정부시장암동,153,268498,차량기지,자연녹지지역개발제한구역
24,서울시구로구천왕동,70─1,195789,차량기지,도시지역자연녹지지역개발제한구역
25,경기도성남시중원구여수동,172,142120,차량기지,자연녹지지역개발제한구역
